AvailabilityId,PersonId,YearMonth,AllocatedPercent,AvailablePercent,AvailabilityStatus
AV0001,P001,2026-08,85,15,調整可
AV0002,P001,2026-09,85,15,調整可
AV0003,P001,2026-10,85,15,調整可
AV0004,P001,2026-11,85,15,調整可
AV0005,P001,2026-12,70,30,空きあり
AV0006,P001,2027-01,70,30,空きあり
AV0007,P002,2026-08,85,15,調整可
AV0008,P002,2026-09,85,15,調整可
AV0009,P002,2026-10,85,15,調整可
AV0010,P002,2026-11,85,15,調整可
AV0011,P002,2026-12,55,45,空きあり
AV0012,P002,2027-01,55,45,空きあり
AV0013,P003,2026-08,50,50,空きあり
AV0014,P003,2026-09,100,0,逼迫
AV0015,P003,2026-10,100,0,逼迫
AV0016,P003,2026-11,100,0,逼迫
AV0017,P003,2026-12,100,0,逼迫
AV0018,P003,2027-01,100,0,逼迫
AV0019,P004,2026-08,45,55,空きあり
AV0020,P004,2026-09,45,55,空きあり
AV0021,P004,2026-10,50,50,空きあり
AV0022,P004,2026-11,55,45,空きあり
AV0023,P004,2026-12,55,45,空きあり
AV0024,P004,2027-01,55,45,空きあり
AV0025,P005,2026-08,45,55,空きあり
AV0026,P005,2026-09,45,55,空きあり
AV0027,P005,2026-10,50,50,空きあり
AV0028,P005,2026-11,55,45,空きあり
AV0029,P005,2026-12,55,45,空きあり
AV0030,P005,2027-01,55,45,空きあり
AV0031,P006,2026-08,95,5,逼迫
AV0032,P006,2026-09,95,5,逼迫
AV0033,P006,2026-10,95,5,逼迫
AV0034,P006,2026-11,95,5,逼迫
AV0035,P006,2026-12,95,5,逼迫
AV0036,P006,2027-01,95,5,逼迫
AV0037,P007,2026-08,95,5,逼迫
AV0038,P007,2026-09,95,5,逼迫
AV0039,P007,2026-10,95,5,逼迫
AV0040,P007,2026-11,95,5,逼迫
AV0041,P007,2026-12,95,5,逼迫
AV0042,P007,2027-01,65,35,空きあり
AV0043,P008,2026-08,45,55,空きあり
AV0044,P008,2026-09,45,55,空きあり
AV0045,P008,2026-10,50,50,空きあり
AV0046,P008,2026-11,55,45,空きあり
AV0047,P008,2026-12,55,45,空きあり
AV0048,P008,2027-01,55,45,空きあり
AV0049,P009,2026-08,55,45,空きあり
AV0050,P009,2026-09,75,25,調整可
AV0051,P009,2026-10,75,25,調整可
AV0052,P009,2026-11,80,20,調整可
AV0053,P009,2026-12,80,20,調整可
AV0054,P009,2027-01,55,45,空きあり
AV0055,P010,2026-08,45,55,空きあり
AV0056,P010,2026-09,45,55,空きあり
AV0057,P010,2026-10,50,50,空きあり
AV0058,P010,2026-11,55,45,空きあり
AV0059,P010,2026-12,55,45,空きあり
AV0060,P010,2027-01,55,45,空きあり
AV0061,P011,2026-08,45,55,空きあり
AV0062,P011,2026-09,45,55,空きあり
AV0063,P011,2026-10,90,10,逼迫
