ProjectRequiredSkillId,ProjectId,SkillId,Requirement
PJ001-SK004,PJ001,SK004,必須
PJ001-SK005,PJ001,SK005,必須
PJ001-SK001,PJ001,SK001,必須
PJ002-SK001,PJ002,SK001,必須
PJ002-SK014,PJ002,SK014,必須
PJ002-SK015,PJ002,SK015,必須
PJ003-SK002,PJ003,SK002,必須
PJ003-SK006,PJ003,SK006,必須
PJ003-SK011,PJ003,SK011,必須
PJ004-SK004,PJ004,SK004,必須
PJ004-SK005,PJ004,SK005,必須
PJ005-SK007,PJ005,SK007,必須
PJ005-SK008,PJ005,SK008,必須
PJ005-SK009,PJ005,SK009,必須
PJ006-SK003,PJ006,SK003,必須
PJ006-SK014,PJ006,SK014,必須
PJ007-SK006,PJ007,SK006,必須
PJ007-SK002,PJ007,SK002,必須
PJ007-SK021,PJ007,SK021,必須
PJ008-SK001,PJ008,SK001,必須
PJ008-SK014,PJ008,SK014,必須
PJ008-SK023,PJ008,SK023,必須
PJ009-SK007,PJ009,SK007,必須
PJ009-SK012,PJ009,SK012,必須
PJ009-SK022,PJ009,SK022,必須
PJ010-SK015,PJ010,SK015,必須
PJ010-SK014,PJ010,SK014,必須
PJ011-SK004,PJ011,SK004,必須
PJ011-SK005,PJ011,SK005,必須
PJ011-SK022,PJ011,SK022,必須
PJ012-SK004,PJ012,SK004,必須
PJ012-SK024,PJ012,SK024,必須
PJ013-SK006,PJ013,SK006,必須
PJ013-SK011,PJ013,SK011,必須
PJ014-SK001,PJ014,SK001,必須
PJ014-SK014,PJ014,SK014,必須
PJ015-SK019,PJ015,SK019,必須
PJ015-SK023,PJ015,SK023,必須
PJ016-SK001,PJ016,SK001,必須
PJ016-SK021,PJ016,SK021,必須
PJ017-SK006,PJ017,SK006,必須
PJ017-SK002,PJ017,SK002,必須
PJ018-SK009,PJ018,SK009,必須
PJ018-SK016,PJ018,SK016,必須
PJ018-SK021,PJ018,SK021,必須
PJ019-SK004,PJ019,SK004,必須
PJ019-SK019,PJ019,SK019,必須
PJ020-SK001,PJ020,SK001,必須
