ProjectTechnologyId,ProjectId,TechnologyId,UsageType
PJ001-TC03,PJ001,TC03,主要
PJ001-TC04,PJ001,TC04,主要
PJ001-TC01,PJ001,TC01,主要
PJ002-TC01,PJ002,TC01,主要
PJ002-TC05,PJ002,TC05,補助
PJ002-TC09,PJ002,TC09,主要
PJ003-TC02,PJ003,TC02,補助
PJ003-TC05,PJ003,TC05,補助
PJ004-TC03,PJ004,TC03,主要
PJ004-TC04,PJ004,TC04,主要
PJ005-TC06,PJ005,TC06,主要
PJ005-TC07,PJ005,TC07,主要
PJ006-TC05,PJ006,TC05,主要
PJ006-TC01,PJ006,TC01,主要
PJ007-TC02,PJ007,TC02,主要
PJ007-TC03,PJ007,TC03,主要
PJ008-TC01,PJ008,TC01,主要
PJ008-TC10,PJ008,TC10,補助
PJ009-TC06,PJ009,TC06,主要
PJ009-TC12,PJ009,TC12,主要
PJ010-TC09,PJ010,TC09,主要
PJ010-TC01,PJ010,TC01,補助
PJ011-TC03,PJ011,TC03,補助
PJ011-TC04,PJ011,TC04,主要
PJ011-TC05,PJ011,TC05,主要
PJ012-TC03,PJ012,TC03,主要
PJ012-TC08,PJ012,TC08,補助
PJ013-TC02,PJ013,TC02,補助
PJ013-TC05,PJ013,TC05,主要
PJ014-TC01,PJ014,TC01,補助
PJ014-TC10,PJ014,TC10,補助
PJ015-TC11,PJ015,TC11,補助
PJ015-TC05,PJ015,TC05,主要
PJ016-TC01,PJ016,TC01,補助
PJ016-TC05,PJ016,TC05,補助
PJ017-TC02,PJ017,TC02,補助
PJ017-TC05,PJ017,TC05,主要
PJ018-TC07,PJ018,TC07,補助
PJ018-TC06,PJ018,TC06,主要
PJ019-TC03,PJ019,TC03,主要
PJ019-TC11,PJ019,TC11,補助
PJ020-TC01,PJ020,TC01,主要
PJ020-TC03,PJ020,TC03,主要
PJ021-TC03,PJ021,TC03,補助
PJ021-TC01,PJ021,TC01,主要
PJ021-TC09,PJ021,TC09,主要
PJ022-TC01,PJ022,TC01,補助
PJ022-TC05,PJ022,TC05,主要
PJ023-TC03,PJ023,TC03,主要
PJ023-TC04,PJ023,TC04,主要
PJ023-TC01,PJ023,TC01,補助
PJ024-TC01,PJ024,TC01,補助
PJ024-TC12,PJ024,TC12,主要
PJ025-TC02,PJ025,TC02,補助
PJ025-TC01,PJ025,TC01,主要
PJ026-TC03,PJ026,TC03,主要
PJ026-TC04,PJ026,TC04,主要
PJ027-TC01,PJ027,TC01,主要
PJ027-TC08,PJ027,TC08,主要
PJ028-TC06,PJ028,TC06,主要
PJ028-TC03,PJ028,TC03,主要
PJ029-TC03,PJ029,TC03,主要
PJ029-TC04,PJ029,TC04,補助
PJ030-TC01,PJ030,TC01,主要
PJ030-TC05,PJ030,TC05,補助
PJ031-TC05,PJ031,TC05,主要
PJ031-TC01,PJ031,TC01,主要
PJ032-TC05,PJ032,TC05,主要
PJ032-TC11,PJ032,TC11,主要
PJ033-TC05,PJ033,TC05,主要
PJ033-TC01,PJ033,TC01,主要
PJ034-TC09,PJ034,TC09,補助
PJ034-TC01,PJ034,TC01,補助
PJ035-TC09,PJ035,TC09,主要
PJ035-TC05,PJ035,TC05,主要
PJ036-TC11,PJ036,TC11,補助
PJ036-TC05,PJ036,TC05,補助
PJ037-TC11,PJ037,TC11,主要
PJ037-TC08,PJ037,TC08,補助
PJ038-TC07,PJ038,TC07,補助
PJ038-TC11,PJ038,TC11,主要
PJ039-TC07,PJ039,TC07,主要
PJ039-TC08,PJ039,TC08,補助
PJ040-TC03,PJ040,TC03,主要
PJ040-TC04,PJ040,TC04,主要
PJ040-TC01,PJ040,TC01,主要
PJ041-TC01,PJ041,TC01,補助
PJ041-TC05,PJ041,TC05,補助
PJ041-TC09,PJ041,TC09,主要
PJ042-TC02,PJ042,TC02,補助
PJ042-TC05,PJ042,TC05,主要
PJ043-TC03,PJ043,TC03,主要
PJ043-TC04,PJ043,TC04,補助
PJ044-TC06,PJ044,TC06,主要
PJ044-TC07,PJ044,TC07,主要
PJ045-TC05,PJ045,TC05,補助
PJ045-TC01,PJ045,TC01,主要
PJ046-TC02,PJ046,TC02,補助
PJ046-TC03,PJ046,TC03,補助
