DeliverableId,ProjectId,Title,DocumentType,Confidentiality,DocumentUrl,CreatedDate,ReusabilityRating
DL0001,PJ001,浪速機械工業様 生成AIによる技能継承ナレッジ検索基盤構築 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ001/テスト仕様書.docx,2024-09-06,低
DL0002,PJ001,浪速機械工業様 生成AIによる技能継承ナレッジ検索基盤構築 運用手順書,運用手順書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ001/運用手順書.docx,2024-10-14,中
DL0003,PJ002,青葉市役所様 Microsoft Fabricによる全社データ基盤構築 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ002/テスト仕様書.docx,2025-11-07,高
DL0004,PJ002,青葉市役所様 Microsoft Fabricによる全社データ基盤構築 運用手順書,運用手順書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ002/運用手順書.docx,2026-01-09,低
DL0005,PJ002,青葉市役所様 Microsoft Fabricによる全社データ基盤構築 要件定義書,要件定義書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ002/要件定義書.docx,2025-05-17,中
DL0006,PJ002,青葉市役所様 Microsoft Fabricによる全社データ基盤構築 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ002/提案書.docx,2025-03-16,中
DL0007,PJ002,青葉市役所様 Microsoft Fabricによる全社データ基盤構築 基本設計書,基本設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ002/基本設計書.docx,2025-07-19,中
DL0008,PJ003,みらいリテール様 Databricksによる需要予測モデル開発 アーキテクチャ設計書,アーキテクチャ設計書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ003/アーキテクチャ設計書.docx,2025-03-04,中
DL0009,PJ003,みらいリテール様 Databricksによる需要予測モデル開発 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ003/テスト仕様書.docx,2025-08-01,高
DL0010,PJ003,みらいリテール様 Databricksによる需要予測モデル開発 運用手順書,運用手順書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ003/運用手順書.docx,2025-10-14,高
DL0011,PJ003,みらいリテール様 Databricksによる需要予測モデル開発 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ003/提案書.docx,2024-10-26,中
DL0012,PJ003,みらいリテール様 Databricksによる需要予測モデル開発 プロジェクト完了報告書,プロジェクト完了報告書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ003/プロジェクト完了報告書.docx,2025-11-21,中
DL0013,PJ004,信州電子工業様 生成AI活用による問い合わせ対応自動化 提案書,提案書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ004/提案書.docx,2025-05-19,高
DL0014,PJ004,信州電子工業様 生成AI活用による問い合わせ対応自動化 運用手順書,運用手順書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ004/運用手順書.docx,2026-02-09,中
DL0015,PJ004,信州電子工業様 生成AI活用による問い合わせ対応自動化 テスト仕様書,テスト仕様書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ004/テスト仕様書.docx,2025-12-15,中
DL0016,PJ004,信州電子工業様 生成AI活用による問い合わせ対応自動化 要件定義書,要件定義書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ004/要件定義書.docx,2025-07-14,中
DL0017,PJ005,湘南マート様 基幹システムのクラウドリフト 要件定義書,要件定義書,社外秘,https://contoso-sier.sharepoint.example.com/sites/projects/PJ005/要件定義書.docx,2024-10-19,高
DL0018,PJ005,湘南マート様 基幹システムのクラウドリフト プロジェクト完了報告書,プロジェクト完了報告書,社内限,https://contoso-sier.sharepoint.example.com/sites/projects/PJ005/プロジェクト完了報告書.docx,2025-03-02,中
