PersonId,OrganizationId,YearsOfService,EmploymentType
P001,ORG01,24,正社員
P002,ORG01,4,契約社員
P003,ORG02,7,正社員
P004,ORG05,21,正社員
P005,ORG07,10,正社員
P006,ORG01,10,正社員
P007,ORG01,15,正社員
P008,ORG05,15,正社員
P009,ORG02,4,正社員
P010,ORG03,5,正社員
P011,ORG05,9,正社員
P012,ORG05,13,正社員
P013,ORG07,12,正社員
P014,ORG04,4,正社員
P015,ORG05,9,正社員
P016,ORG05,21,正社員
P017,ORG03,20,正社員
P018,ORG04,13,正社員
P019,ORG05,1,正社員
P020,ORG02,23,正社員
P021,ORG05,18,正社員
P022,ORG01,12,正社員
P023,ORG07,10,正社員
P024,ORG06,9,正社員
P025,ORG01,2,正社員
P026,ORG02,13,正社員
P027,ORG02,9,正社員
P028,ORG05,11,正社員
P029,ORG01,1,正社員
P030,ORG06,13,正社員
P031,ORG06,13,正社員
P032,ORG01,12,正社員
P033,ORG04,17,正社員
P034,ORG05,16,正社員
P035,ORG02,17,正社員
P036,ORG07,9,正社員
P037,ORG01,13,正社員
P038,ORG05,14,正社員
P039,ORG06,22,正社員
P040,ORG05,15,正社員
P041,ORG03,17,正社員
P042,ORG04,5,契約社員
P043,ORG04,10,契約社員
P044,ORG04,9,正社員
P045,ORG05,3,正社員
P046,ORG04,9,正社員
P047,ORG07,8,正社員
P048,ORG03,9,正社員
P049,ORG06,12,正社員
P050,ORG02,9,正社員
P051,ORG01,14,正社員
P052,ORG03,8,正社員
P053,ORG01,14,正社員
P054,ORG04,8,正社員
P055,ORG03,14,正社員
P056,ORG05,17,正社員
P057,ORG03,8,正社員
P058,ORG03,1,正社員
P059,ORG03,12,正社員
P060,ORG03,3,正社員
P061,ORG07,13,正社員
P062,ORG02,13,契約社員
P063,ORG02,21,正社員
P064,ORG07,7,正社員
P065,ORG01,15,正社員
P066,ORG03,12,正社員
P067,ORG04,5,正社員
P068,ORG01,5,正社員
P069,ORG01,1,契約社員
P070,ORG02,9,正社員
P071,ORG03,8,正社員
P072,ORG01,9,正社員
P073,ORG01,12,正社員
P074,ORG01,10,正社員
P075,ORG01,18,正社員
P076,ORG06,18,正社員
P077,ORG06,6,正社員
P078,ORG07,14,正社員
P079,ORG04,21,正社員
P080,ORG07,9,正社員
P081,ORG01,10,正社員
P082,ORG02,21,正社員
P083,ORG03,8,正社員
P084,ORG03,5,正社員
P085,ORG01,23,正社員
P086,ORG01,19,正社員
P087,ORG06,13,正社員
P088,ORG04,14,正社員
P089,ORG06,14,正社員
P090,ORG01,7,正社員
P091,ORG06,5,正社員
P092,ORG03,3,正社員
P093,ORG02,13,正社員
P094,ORG02,22,正社員
P095,ORG01,7,正社員
P096,ORG06,25,正社員
P097,ORG01,18,正社員
P098,ORG05,11,契約社員
P099,ORG04,3,正社員
P100,ORG03,3,正社員
P101,ORG01,28,正社員
P102,ORG01,2,正社員
P103,ORG02,17,正社員
P104,ORG07,9,正社員
P105,ORG03,9,正社員
P106,ORG07,7,契約社員
P107,ORG01,19,正社員
P108,ORG06,17,正社員
P109,ORG06,10,正社員
P110,ORG06,3,正社員
P111,ORG06,13,正社員
P112,ORG01,13,正社員
P113,ORG01,8,正社員
P114,ORG07,19,正社員
P115,ORG02,9,正社員
P116,ORG01,10,正社員
P117,ORG02,6,正社員
P118,ORG05,17,正社員
P119,ORG06,12,正社員
P120,ORG03,2,正社員
P121,ORG02,6,正社員
P122,ORG03,9,正社員
P123,ORG01,17,正社員
P124,ORG01,21,正社員
P125,ORG06,12,正社員
P126,ORG07,14,正社員
P127,ORG04,6,正社員
P128,ORG01,5,正社員
P129,ORG06,9,正社員
P130,ORG03,13,正社員
P131,ORG02,9,正社員
P132,ORG03,20,正社員
P133,ORG05,6,正社員
P134,ORG05,9,正社員
P135,ORG04,8,正社員
P136,ORG05,16,正社員
P137,ORG01,15,正社員
P138,ORG01,1,正社員
P139,ORG03,5,契約社員
P140,ORG03,1,正社員
P141,ORG04,17,正社員
P142,ORG07,13,正社員
P143,ORG05,7,正社員
P144,ORG01,15,正社員
P145,ORG04,5,正社員
P146,ORG06,5,正社員
P147,ORG06,21,正社員
P148,ORG04,27,正社員
P149,ORG03,8,正社員
P150,ORG07,8,正社員
P151,ORG03,13,正社員
P152,ORG07,4,正社員
P153,ORG04,5,正社員
P154,ORG01,7,正社員
P155,ORG02,27,正社員
P156,ORG06,19,正社員
P157,ORG05,3,正社員
P158,ORG01,20,正社員
P159,ORG02,16,正社員
P160,ORG03,23,正社員
P161,ORG06,25,正社員
P162,ORG06,11,正社員
P163,ORG01,16,正社員
P164,ORG05,5,正社員
P165,ORG04,12,正社員
P166,ORG04,1,正社員
P167,ORG03,13,正社員
P168,ORG04,13,契約社員
P169,ORG07,28,正社員
P170,ORG01,16,正社員
P171,ORG05,6,正社員
P172,ORG05,4,正社員
P173,ORG05,20,正社員
P174,ORG02,14,正社員
P175,ORG02,9,正社員
P176,ORG02,11,契約社員
P177,ORG07,20,正社員
P178,ORG03,13,正社員
P179,ORG05,19,正社員
P180,ORG02,29,契約社員
P181,ORG06,5,正社員
P182,ORG02,2,正社員
P183,ORG03,10,正社員
P184,ORG01,22,正社員
P185,ORG04,20,正社員
P186,ORG05,11,正社員
P187,ORG02,9,正社員
P188,ORG04,15,正社員
P189,ORG02,4,正社員
P190,ORG02,18,正社員
P191,ORG05,5,正社員
P192,ORG02,21,正社員
P193,ORG03,5,正社員
P194,ORG03,11,正社員
P195,ORG02,13,正社員
P196,ORG04,6,正社員
P197,ORG03,24,正社員
P198,ORG01,5,正社員
P199,ORG05,22,正社員
P200,ORG05,16,正社員
