PersonCertificationId,PersonId,CertificationId,AcquiredDate,ExpiryDate
PC0001,P001,CT02,2024-12-29,2026-12-17
PC0002,P001,CT07,2023-09-05,2027-09-09
PC0003,P002,CT06,2023-10-10,2028-02-04
PC0004,P002,CT08,2023-01-29,2026-02-02
PC0005,P002,CT04,2025-12-24,2026-12-24
PC0006,P004,CT07,2025-10-04,2027-07-17
PC0007,P004,CT04,2023-12-25,2026-11-05
PC0008,P004,CT08,2025-03-06,2026-01-26
PC0009,P005,CT05,2026-03-07,2027-03-07
PC0010,P005,CT08,2024-01-21,2028-08-15
PC0011,P006,CT02,2025-01-21,2027-11-18
PC0012,P006,CT01,2022-11-06,2025-08-19
PC0013,P007,CT03,2023-05-01,2027-02-08
PC0014,P008,CT04,2026-02-23,2026-06-27
PC0015,P010,CT08,2026-03-01,2027-09-03
PC0016,P010,CT04,2025-08-22,2026-01-19
PC0017,P010,CT02,2024-02-05,2025-11-12
PC0018,P012,CT05,2026-05-31,2028-02-23
PC0019,P012,CT07,2024-06-16,2028-12-01
PC0020,P012,CT03,2025-12-23,2028-11-07
PC0021,P013,CT08,2024-01-05,2028-03-05
PC0022,P013,CT03,2026-04-30,2026-12-19
PC0023,P013,CT01,2023-07-08,2026-05-05
PC0024,P016,CT02,2025-09-17,2026-05-07
PC0025,P017,CT03,2024-06-24,2027-06-29
PC0026,P018,CT01,2026-03-04,2026-03-23
PC0027,P018,CT08,2026-01-20,2027-05-29
PC0028,P019,CT04,2026-01-09,2027-01-09
PC0029,P019,CT08,2025-06-02,2026-06-06
PC0030,P020,CT02,2024-06-06,2027-09-30
PC0031,P020,CT01,2024-06-03,2028-09-11
PC0032,P020,CT04,2025-03-06,2025-12-21
PC0033,P021,CT04,2024-08-20,2025-10-11
PC0034,P022,CT04,2024-05-23,2026-01-31
PC0035,P022,CT02,2023-02-26,2027-06-17
PC0036,P022,CT01,2024-11-06,2026-02-28
PC0037,P023,CT04,2026-06-04,2026-10-05
PC0038,P023,CT08,2025-02-10,2026-04-04
PC0039,P024,CT08,2025-01-18,2026-10-27
PC0040,P024,CT02,2023-03-03,2026-04-03
PC0041,P024,CT03,2025-03-20,2025-08-01
PC0042,P025,CT07,2023-04-29,2027-03-02
PC0043,P025,CT01,2025-12-08,2028-02-12
PC0044,P025,CT08,2026-02-04,2026-10-09
PC0045,P026,CT07,2023-12-21,2027-04-03
PC0046,P026,CT06,2023-10-28,2028-10-02
PC0047,P026,CT04,2023-04-22,2026-12-12
PC0048,P027,CT03,2023-08-14,2028-02-13
PC0049,P027,CT05,2024-05-04,2028-12-23
PC0050,P027,CT01,2024-06-25,2025-10-15
PC0051,P028,CT02,2023-01-19,2027-08-08
PC0052,P028,CT07,2025-09-10,2028-11-02
PC0053,P028,CT04,2023-07-17,2028-12-16
PC0054,P029,CT02,2025-11-28,2028-05-29
PC0055,P029,CT03,2023-02-01,2027-06-16
PC0056,P029,CT04,2022-10-30,2027-03-13
PC0057,P031,CT04,2025-08-16,2026-06-15
PC0058,P031,CT03,2025-07-12,2028-04-08
PC0059,P032,CT04,2024-11-26,2027-04-29
PC0060,P032,CT01,2024-03-08,2028-10-06
PC0061,P033,CT07,2023-06-19,2028-02-04
PC0062,P033,CT04,2022-11-07,2025-10-17
PC0063,P034,CT04,2025-12-28,2026-10-24
PC0064,P034,CT05,2025-12-05,2028-09-18
PC0065,P035,CT03,2026-02-05,2028-10-24
PC0066,P036,CT01,2026-03-16,2027-04-03
PC0067,P037,CT01,2025-07-01,2028-12-14
PC0068,P038,CT07,2025-09-28,2026-09-28
PC0069,P038,CT03,2024-03-14,2027-10-07
PC0070,P038,CT05,2023-11-23,2026-06-22
PC0071,P039,CT06,2026-01-06,2027-01-06
PC0072,P039,CT04,2025-10-13,2028-09-05
PC0073,P040,CT06,2023-10-23,2026-12-25
PC0074,P040,CT04,2023-07-13,2025-11-21
PC0075,P042,CT06,2023-10-21,2027-11-25
PC0076,P042,CT01,2024-02-07,2029-01-17
