PersonSkillId,PersonId,SkillId,ProficiencyLevel,YearsOfExperience,EvidenceProjectId,EvidenceType
PS0001,P001,SK001,上級,4,PJ024,案件実績
PS0002,P001,SK005,エキスパート,12,PJ023,案件実績
PS0003,P001,SK021,上級,15,PJ023,案件実績
PS0004,P001,SK014,エキスパート,13,PJ031,案件実績
PS0005,P001,SK004,エキスパート,6,PJ004,案件実績
PS0006,P001,SK006,エキスパート,9,PJ064,案件実績
PS0007,P001,SK002,上級,7,PJ064,案件実績
PS0008,P001,SK019,エキスパート,11,PJ058,案件実績
PS0009,P001,SK015,上級,4,,自己申告
PS0010,P002,SK015,初級,3,PJ035,案件実績
PS0011,P002,SK020,中級,4,PJ035,案件実績
PS0012,P002,SK006,中級,3,PJ056,案件実績
PS0013,P002,SK002,中級,3,PJ056,案件実績
PS0014,P002,SK023,初級,3,PJ059,案件実績
PS0015,P002,SK004,中級,4,PJ059,案件実績
PS0016,P002,SK011,初級,3,,自己申告
PS0017,P003,SK009,中級,4,PJ018,案件実績
PS0018,P003,SK006,中級,4,PJ013,案件実績
PS0019,P003,SK004,中級,2,PJ012,案件実績
PS0020,P003,SK002,中級,7,PJ007,案件実績
PS0021,P003,SK020,中級,5,,自己申告
PS0022,P003,SK008,中級,6,,自己申告
PS0023,P004,SK022,中級,1,,自己申告
PS0024,P004,SK012,上級,13,,自己申告
PS0025,P005,SK014,上級,9,PJ010,案件実績
PS0026,P005,SK015,エキスパート,8,PJ010,案件実績
PS0027,P005,SK003,上級,5,PJ031,案件実績
PS0028,P005,SK016,中級,3,,自己申告
PS0029,P005,SK019,中級,8,,自己申告
PS0030,P005,SK017,上級,10,,自己申告
PS0031,P006,SK014,エキスパート,8,PJ014,案件実績
PS0032,P006,SK001,上級,3,PJ014,案件実績
PS0033,P006,SK005,上級,6,PJ040,案件実績
PS0034,P006,SK004,中級,9,,自己申告
PS0035,P006,SK011,上級,5,,自己申告
PS0036,P007,SK024,上級,11,PJ012,案件実績
PS0037,P007,SK019,上級,15,PJ073,案件実績
PS0038,P007,SK015,エキスパート,9,PJ073,案件実績
PS0039,P007,SK014,上級,12,PJ041,案件実績
PS0040,P007,SK002,上級,7,,自己申告
PS0041,P007,SK003,中級,7,,自己申告
PS0042,P007,SK005,中級,2,,自己申告
PS0043,P008,SK020,中級,4,,自己申告
PS0044,P008,SK022,上級,15,,自己申告
PS0045,P008,SK012,中級,8,,自己申告
PS0046,P008,SK016,上級,15,,自己申告
PS0047,P009,SK004,中級,4,PJ029,案件実績
PS0048,P009,SK014,中級,4,PJ024,案件実績
PS0049,P009,SK008,中級,4,PJ044,案件実績
PS0050,P009,SK007,初級,1,PJ044,案件実績
PS0051,P009,SK024,中級,2,PJ051,案件実績
PS0052,P009,SK020,中級,1,,自己申告
PS0053,P010,SK021,中級,3,PJ038,案件実績
PS0054,P010,SK016,中級,3,PJ032,案件実績
PS0055,P010,SK003,中級,5,PJ032,案件実績
PS0056,P010,SK009,中級,4,,自己申告
PS0057,P010,SK018,中級,3,,自己申告
PS0058,P011,SK016,中級,9,,自己申告
PS0059,P011,SK020,中級,4,,自己申告
PS0060,P011,SK022,初級,3,,自己申告
